"YEAR","START_DATE","END_DATE","JURISDICTION","LOCATION","AGE_GROUP","METRIC","DETECTION_METHOD","FINES"
2023,"2023-11-01","2023-11-30","VIC","Inner Regional Australia","Unknown","non_wearing_seatbelts","Mobile camera",97
2023,"2023-11-01","2023-11-30","VIC","Major Cities of Australia","17-25","non_wearing_seatbelts","Mobile camera",136
2023,"2023-11-01","2023-11-30","VIC","Major Cities of Australia","17-25","non_wearing_seatbelts","Police issued",60
2023,"2023-11-01","2023-11-30","VIC","Major Cities of Australia","26-39","non_wearing_seatbelts","Mobile camera",653
2023,"2023-11-01","2023-11-30","VIC","Major Cities of Australia","26-39","non_wearing_seatbelts","Police issued",179
2023,"2023-11-01","2023-11-30","VIC","Major Cities of Australia","40-64","non_wearing_seatbelts","Mobile camera",765
2023,"2023-11-01","2023-11-30","VIC","Major Cities of Australia","40-64","non_wearing_seatbelts","Police issued",122
2023,"2023-11-01","2023-11-30","VIC","Major Cities of Australia","65 and over","non_wearing_seatbelts","Mobile camera",196
2023,"2023-11-01","2023-11-30","VIC","Major Cities of Australia","65 and over","non_wearing_seatbelts","Police issued",13
2023,"2023-11-01","2023-11-30","VIC","Major Cities of Australia","Unknown","non_wearing_seatbelts","Mobile camera",532
2023,"2023-11-01","2023-11-30","VIC","Outer Regional Australia","17-25","non_wearing_seatbelts","Mobile camera",1
2023,"2023-11-01","2023-11-30","VIC","Outer Regional Australia","17-25","non_wearing_seatbelts","Police issued",9
2023,"2023-11-01","2023-11-30","VIC","Outer Regional Australia","26-39","non_wearing_seatbelts","Mobile camera",4
2023,"2023-11-01","2023-11-30","VIC","Outer Regional Australia","26-39","non_wearing_seatbelts","Police issued",12
2023,"2023-11-01","2023-11-30","VIC","Outer Regional Australia","40-64","non_wearing_seatbelts","Mobile camera",11
2023,"2023-11-01","2023-11-30","VIC","Outer Regional Australia","40-64","non_wearing_seatbelts","Police issued",14
2023,"2023-11-01","2023-11-30","VIC","Outer Regional Australia","65 and over","non_wearing_seatbelts","Mobile camera",13
2023,"2023-11-01","2023-11-30","VIC","Outer Regional Australia","65 and over","non_wearing_seatbelts","Police issued",5
2023,"2023-11-01","2023-11-30","VIC","Outer Regional Australia","Unknown","non_wearing_seatbelts","Mobile camera",11
2023,"2023-11-01","2023-11-30","VIC","Remote Australia","26-39","non_wearing_seatbelts","Police issued",1
2023,"2023-11-01","2023-11-30","VIC","Unknown","17-25","non_wearing_seatbelts","Mobile camera",8
2023,"2023-11-01","2023-11-30","VIC","Unknown","26-39","non_wearing_seatbelts","Mobile camera",48
2023,"2023-11-01","2023-11-30","VIC","Unknown","26-39","non_wearing_seatbelts","Police issued",1
2023,"2023-11-01","2023-11-30","VIC","Unknown","40-64","non_wearing_seatbelts","Mobile camera",42
2023,"2023-11-01","2023-11-30","VIC","Unknown","40-64","non_wearing_seatbelts","Police issued",5
2023,"2023-11-01","2023-11-30","VIC","Unknown","65 and over","non_wearing_seatbelts","Mobile camera",16
2023,"2023-11-01","2023-11-30","VIC","Unknown","Unknown","non_wearing_seatbelts","Mobile camera",22
2023,"2023-11-01","2023-11-30","WA","Unknown","17-25","non_wearing_seatbelts","Police issued",42
2023,"2023-11-01","2023-11-30","WA","Unknown","26-39","non_wearing_seatbelts","Police issued",62
2023,"2023-11-01","2023-11-30","WA","Unknown","40-64","non_wearing_seatbelts","Police issued",46
2023,"2023-11-01","2023-11-30","WA","Unknown","65 and over","non_wearing_seatbelts","Police issued",6
2023,"2023-12-01","2023-12-31","ACT","Major Cities of Australia","17-25","non_wearing_seatbelts","Police issued",3
2023,"2023-12-01","2023-12-31","ACT","Major Cities of Australia","26-39","non_wearing_seatbelts","Police issued",1
2023,"2023-12-01","2023-12-31","ACT","Major Cities of Australia","40-64","non_wearing_seatbelts","Police issued",1
2023,"2023-12-01","2023-12-31","NSW","Inner Regional Australia","0-16","non_wearing_seatbelts","Police issued",1
2023,"2023-12-01","2023-12-31","NSW","Inner Regional Australia","17-25","non_wearing_seatbelts","Police issued",72
2023,"2023-12-01","2023-12-31","NSW","Inner Regional Australia","26-39","non_wearing_seatbelts","Police issued",127
2023,"2023-12-01","2023-12-31","NSW","Inner Regional Australia","40-64","non_wearing_seatbelts","Police issued",85
2023,"2023-12-01","2023-12-31","NSW","Inner Regional Australia","65 and over","non_wearing_seatbelts","Police issued",13
2023,"2023-12-01","2023-12-31","NSW","Major Cities of Australia","0-16","non_wearing_seatbelts","Police issued",5
2023,"2023-12-01","2023-12-31","NSW","Major Cities of Australia","17-25","non_wearing_seatbelts","Police issued",143
2023,"2023-12-01","2023-12-31","NSW","Major Cities of Australia","26-39","non_wearing_seatbelts","Police issued",185
2023,"2023-12-01","2023-12-31","NSW","Major Cities of Australia","40-64","non_wearing_seatbelts","Police issued",128
2023,"2023-12-01","2023-12-31","NSW","Major Cities of Australia","65 and over","non_wearing_seatbelts","Police issued",23
2023,"2023-12-01","2023-12-31","NSW","Outer Regional Australia","17-25","non_wearing_seatbelts","Police issued",9
2023,"2023-12-01","2023-12-31","NSW","Outer Regional Australia","26-39","non_wearing_seatbelts","Police issued",46
2023,"2023-12-01","2023-12-31","NSW","Outer Regional Australia","40-64","non_wearing_seatbelts","Police issued",29
2023,"2023-12-01","2023-12-31","NSW","Outer Regional Australia","65 and over","non_wearing_seatbelts","Police issued",8
2023,"2023-12-01","2023-12-31","NSW","Remote Australia","17-25","non_wearing_seatbelts","Police issued",2
2023,"2023-12-01","2023-12-31","NSW","Remote Australia","26-39","non_wearing_seatbelts","Police issued",1
2023,"2023-12-01","2023-12-31","NSW","Remote Australia","40-64","non_wearing_seatbelts","Police issued",5
2023,"2023-12-01","2023-12-31","NSW","Unknown","17-25","non_wearing_seatbelts","Police issued",44
2023,"2023-12-01","2023-12-31","NSW","Unknown","26-39","non_wearing_seatbelts","Police issued",78
2023,"2023-12-01","2023-12-31","NSW","Unknown","40-64","non_wearing_seatbelts","Police issued",44
2023,"2023-12-01","2023-12-31","NSW","Unknown","65 and over","non_wearing_seatbelts","Police issued",9
2023,"2023-12-01","2023-12-31","NSW","Very Remote Australia","26-39","non_wearing_seatbelts","Police issued",2
2023,"2023-12-01","2023-12-31","NSW","Very Remote Australia","65 and over","non_wearing_seatbelts","Police issued",1
2023,"2023-12-01","2023-12-31","NT","Unknown","17-25","non_wearing_seatbelts","Police issued",9
2023,"2023-12-01","2023-12-31","NT","Unknown","26-39","non_wearing_seatbelts","Police issued",22
2023,"2023-12-01","2023-12-31","NT","Unknown","40-64","non_wearing_seatbelts","Police issued",26
2023,"2023-12-01","2023-12-31","NT","Unknown","65 and over","non_wearing_seatbelts","Police issued",1
2023,"2023-12-01","2023-12-31","SA","Unknown","0-16","non_wearing_seatbelts","Police issued",2
2023,"2023-12-01","2023-12-31","SA","Unknown","17-25","non_wearing_seatbelts","Police issued",42
2023,"2023-12-01","2023-12-31","SA","Unknown","26-39","non_wearing_seatbelts","Police issued",92
2023,"2023-12-01","2023-12-31","SA","Unknown","40-64","non_wearing_seatbelts","Police issued",110
2023,"2023-12-01","2023-12-31","SA","Unknown","65 and over","non_wearing_seatbelts","Police issued",40
2023,"2023-12-01","2023-12-31","SA","Unknown","Unknown","non_wearing_seatbelts","Police issued",0
2023,"2023-12-01","2023-12-31","TAS","Unknown","0-16","non_wearing_seatbelts","Police issued",0
2023,"2023-12-01","2023-12-31","TAS","Unknown","17-25","non_wearing_seatbelts","Fixed or mobile camera",39
2023,"2023-12-01","2023-12-31","TAS","Unknown","17-25","non_wearing_seatbelts","Police issued",16
2023,"2023-12-01","2023-12-31","TAS","Unknown","26-39","non_wearing_seatbelts","Fixed or mobile camera",82
2023,"2023-12-01","2023-12-31","TAS","Unknown","26-39","non_wearing_seatbelts","Police issued",25
2023,"2023-12-01","2023-12-31","TAS","Unknown","40-64","non_wearing_seatbelts","Fixed or mobile camera",94
2023,"2023-12-01","2023-12-31","TAS","Unknown","40-64","non_wearing_seatbelts","Police issued",26
2023,"2023-12-01","2023-12-31","TAS","Unknown","65 and over","non_wearing_seatbelts","Fixed or mobile camera",52
2023,"2023-12-01","2023-12-31","TAS","Unknown","65 and over","non_wearing_seatbelts","Police issued",7
2023,"2023-12-01","2023-12-31","VIC","Inner Regional Australia","17-25","non_wearing_seatbelts","Mobile camera",103
2023,"2023-12-01","2023-12-31","VIC","Inner Regional Australia","17-25","non_wearing_seatbelts","Police issued",32
2023,"2023-12-01","2023-12-31","VIC","Inner Regional Australia","26-39","non_wearing_seatbelts","Mobile camera",353
2023,"2023-12-01","2023-12-31","VIC","Inner Regional Australia","26-39","non_wearing_seatbelts","Police issued",59
2023,"2023-12-01","2023-12-31","VIC","Inner Regional Australia","40-64","non_wearing_seatbelts","Mobile camera",521
2023,"2023-12-01","2023-12-31","VIC","Inner Regional Australia","40-64","non_wearing_seatbelts","Police issued",46
2023,"2023-12-01","2023-12-31","VIC","Inner Regional Australia","65 and over","non_wearing_seatbelts","Mobile camera",158
2023,"2023-12-01","2023-12-31","VIC","Inner Regional Australia","65 and over","non_wearing_seatbelts","Police issued",12
2023,"2023-12-01","2023-12-31","VIC","Inner Regional Australia","Unknown","non_wearing_seatbelts","Mobile camera",256
2023,"2023-12-01","2023-12-31","VIC","Major Cities of Australia","17-25","non_wearing_seatbelts","Mobile camera",175
2023,"2023-12-01","2023-12-31","VIC","Major Cities of Australia","17-25","non_wearing_seatbelts","Police issued",75
2023,"2023-12-01","2023-12-31","VIC","Major Cities of Australia","26-39","non_wearing_seatbelts","Mobile camera",790
2023,"2023-12-01","2023-12-31","VIC","Major Cities of Australia","26-39","non_wearing_seatbelts","Police issued",159
2023,"2023-12-01","2023-12-31","VIC","Major Cities of Australia","40-64","non_wearing_seatbelts","Mobile camera",1094
2023,"2023-12-01","2023-12-31","VIC","Major Cities of Australia","40-64","non_wearing_seatbelts","Police issued",138
2023,"2023-12-01","2023-12-31","VIC","Major Cities of Australia","65 and over","non_wearing_seatbelts","Mobile camera",328
2023,"2023-12-01","2023-12-31","VIC","Major Cities of Australia","65 and over","non_wearing_seatbelts","Police issued",21
2023,"2023-12-01","2023-12-31","VIC","Major Cities of Australia","Unknown","non_wearing_seatbelts","Mobile camera",572
2023,"2023-12-01","2023-12-31","VIC","Major Cities of Australia","Unknown","non_wearing_seatbelts","Police issued",1
2023,"2023-12-01","2023-12-31","VIC","Outer Regional Australia","17-25","non_wearing_seatbelts","Police issued",8
2023,"2023-12-01","2023-12-31","VIC","Outer Regional Australia","26-39","non_wearing_seatbelts","Police issued",11
2023,"2023-12-01","2023-12-31","VIC","Outer Regional Australia","40-64","non_wearing_seatbelts","Police issued",8
2023,"2023-12-01","2023-12-31","VIC","Outer Regional Australia","65 and over","non_wearing_seatbelts","Police issued",8
2023,"2023-12-01","2023-12-31","VIC","Unknown","26-39","non_wearing_seatbelts","Police issued",3
2023,"2023-12-01","2023-12-31","WA","Unknown","17-25","non_wearing_seatbelts","Police issued",20
2023,"2023-12-01","2023-12-31","WA","Unknown","26-39","non_wearing_seatbelts","Police issued",48
2023,"2023-12-01","2023-12-31","WA","Unknown","40-64","non_wearing_seatbelts","Police issued",24
2023,"2023-12-01","2023-12-31","WA","Unknown","65 and over","non_wearing_seatbelts","Police issued",4
